class_one,class_one_idx,class_two,class_two_idx,class_three,class_three_idx,class_four,class_four_idx
Arts & Entertainment,,Art Gallery,34,,,,
Arts & Entertainment,,Concert Hall,25,,,,
Arts & Entertainment,,Country Dance Club,155,,,,
Arts & Entertainment,,Performing Arts Venue,28,Dance Studio,155,,
Arts & Entertainment,,Performing Arts Venue,28,Indie Theater,154,,
Arts & Entertainment,,Performing Arts Venue,28,Opera House,154,,
Arts & Entertainment,,Performing Arts Venue,28,Theater,28,,
Arts & Entertainment,,Public Art,34,Outdoor Sculpture,87,,
Arts & Entertainment,,Public Art,34,Street Art,34,,
Arts & Entertainment,,Art Studio,59,,,,
Arts & Entertainment,,Amphitheater,92,,,,
Arts & Entertainment,,Aquarium,99,,,,
Arts & Entertainment,,Arcade,26,,,,
Arts & Entertainment,,Bowling Alley,110,,,,
Arts & Entertainment,,Casino,101,,,,
Arts & Entertainment,,Circus,144,,,,
Arts & Entertainment,,Comedy Club,154,,,,
Arts & Entertainment,,Exhibit,92,,,,
Arts & Entertainment,,General Entertainment,92,,,,
Arts & Entertainment,,Go Kart Track,127,,,,
Arts & Entertainment,,Karaoke Box,100,,,,
Arts & Entertainment,,Laser Tag,151,,,,
Arts & Entertainment,,Pachinko Parlor,26,,,,
Arts & Entertainment,,Movie Theater,95,Drive-in Theater,95,,
Arts & Entertainment,,Movie Theater,95,Indie Movie Theater,95,,
Arts & Entertainment,,Movie Theater,95,Multiplex,95,,
Arts & Entertainment,,Museum,27,Art Museum,34,,
Arts & Entertainment,,Museum,27,Erotic Museum,216,,
Arts & Entertainment,,Museum,27,History Museum,283,,
Arts & Entertainment,,Museum,27,Planetarium,333,,
Arts & Entertainment,,Museum,27,Science Museum,86,,
Arts & Entertainment,,Music Venue,68,Jazz Club,156,,
Arts & Entertainment,,Music Venue,68,Piano Bar,157,,
Arts & Entertainment,,Music Venue,68,Rock Club,80,,
Arts & Entertainment,,Pool Hall,128,,,,
Arts & Entertainment,,Racecourse,127,,,,
Arts & Entertainment,,Racetrack,127,,,,
Arts & Entertainment,,Roller Rink,153,,,,
Arts & Entertainment,,Salsa Club,155,,,,
Arts & Entertainment,,Samba School,155,,,,
Arts & Entertainment,,Stadium,158,Baseball Stadium,60,,
Arts & Entertainment,,Stadium,158,Basketball Stadium,112,,
Arts & Entertainment,,Stadium,158,Cricket Ground,182,,
Arts & Entertainment,,Stadium,158,Football Stadium,94,,
Arts & Entertainment,,Stadium,158,Hockey Arena,109,,
Arts & Entertainment,,Stadium,158,Rugby Stadium,94,,
Arts & Entertainment,,Stadium,158,Soccer Stadium,61,,
Arts & Entertainment,,Stadium,158,Tennis Stadium,107,,
Arts & Entertainment,,Stadium,158,Track Stadium,158,,
Arts & Entertainment,,Theme Park,92,Theme Park Ride / Attraction,18,,
Arts & Entertainment,,Tour Provider,92,,,,
Arts & Entertainment,,Zoo,115,Zoo Exhibit,115,,
Arts & Entertainment,,Water Park,11,,,,
Arts & Entertainment,,Nightlife Spot,106,Night Market,287,,
Arts & Entertainment,,Nightlife Spot,106,Nightclub,106,,
Arts & Entertainment,,Nightlife Spot,106,Strip Club,106,,
Arts & Entertainment,,Nightlife Spot,106,Other Nightlife,106,,
Arts & Entertainment,,Gaming Cafe,26,,,,
Arts & Entertainment,,Internet Cafe,137,,,,
Food,,Afghan Restaurant,5,,,,
Food,,African Restaurant,5,Ethiopian Restaurant,5,,
Food,,American Restaurant,5,New American Restaurant,5,,
Food,,Asian Restaurant,5,Burmese Restaurant,5,,
Food,,Asian Restaurant,5,Cambodian Restaurant,5,,
Food,,Asian Restaurant,5,Chinese Restaurant,159,Anhui Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Beijing Restaurant,48
Food,,Asian Restaurant,5,Chinese Restaurant,159,Cantonese Restaurant,48
Food,,Asian Restaurant,5,Chinese Restaurant,159,Cha Chaan Teng,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Chinese Aristocrat Restaurant,136
Food,,Asian Restaurant,5,Chinese Restaurant,159,Chinese Breakfast Place,48
Food,,Asian Restaurant,5,Chinese Restaurant,159,Dim Sum Restaurant,48
Food,,Asian Restaurant,5,Chinese Restaurant,159,Dongbei Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Fujian Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Guizhou Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Hainan Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Hakka Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Henan Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Hong Kong Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Huaiyang Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Hubei Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Hunan Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Imperial Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Jiangsu Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Jiangxi Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Macanese Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Manchu Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Peking Duck Restaurant,170
Food,,Asian Restaurant,5,Chinese Restaurant,159,Shaanxi Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Shandong Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Shanghai Restaurant,48
Food,,Asian Restaurant,5,Chinese Restaurant,159,Shanxi Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Szechuan Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Taiwanese Restaurant,48
Food,,Asian Restaurant,5,Chinese Restaurant,159,Tianjin Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Xinjiang Restaurant,5
Food,,Asian Restaurant,5,Chinese Restaurant,159,Yunnan Restaurant,159
Food,,Asian Restaurant,5,Chinese Restaurant,159,Zhejiang Restaurant,5
Food,,Asian Restaurant,5,Filipino Restaurant,5,,
Food,,Asian Restaurant,5,Himalayan Restaurant,5,,
Food,,Asian Restaurant,5,Hotpot Restaurant,104,,
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Acehnese Restaurant,5
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Balinese Restaurant,5
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Betawinese Restaurant,5
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Indonesian Meatball Place,175
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Javanese Restaurant,5
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Manadonese Restaurant,5
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Padangnese Restaurant,5
Food,,Asian Restaurant,5,Indonesian Restaurant,5,Sundanese Restaurant,5
Food,,Asian Restaurant,5,Japanese Restaurant,10,Donburi Restaurant,159
Food,,Asian Restaurant,5,Japanese Restaurant,10,Japanese Curry Restaurant,335
Food,,Asian Restaurant,5,Japanese Restaurant,10,Kaiseki Restaurant,5
Food,,Asian Restaurant,5,Japanese Restaurant,10,Kushikatsu Restaurant,160
Food,,Asian Restaurant,5,Japanese Restaurant,10,Monjayaki Restaurant,171
Food,,Asian Restaurant,5,Japanese Restaurant,10,Nabe Restaurant,169
Food,,Asian Restaurant,5,Japanese Restaurant,10,Okonomiyaki Restaurant,171
Food,,Asian Restaurant,5,Japanese Restaurant,10,Ramen Restaurant,45
Food,,Asian Restaurant,5,Japanese Restaurant,10,Shabu-Shabu Restaurant,104
Food,,Asian Restaurant,5,Japanese Restaurant,10,Soba Restaurant,45
Food,,Asian Restaurant,5,Japanese Restaurant,10,Sukiyaki Restaurant,104
Food,,Asian Restaurant,5,Japanese Restaurant,10,Sushi Restaurant,10
Food,,Asian Restaurant,5,Japanese Restaurant,10,Takoyaki Place,175
Food,,Asian Restaurant,5,Japanese Restaurant,10,Tempura Restaurant,5
Food,,Asian Restaurant,5,Japanese Restaurant,10,Tonkatsu Restaurant,5
Food,,Asian Restaurant,5,Japanese Restaurant,10,Udon Restaurant,45
Food,,Asian Restaurant,5,Japanese Restaurant,10,Unagi Restaurant,159
Food,,Asian Restaurant,5,Japanese Restaurant,10,Wagashi Place,161
Food,,Asian Restaurant,5,Japanese Restaurant,10,Yakitori Restaurant,160
Food,,Asian Restaurant,5,Japanese Restaurant,10,Yoshoku Restaurant,5
Food,,Asian Restaurant,5,Korean Restaurant,5,Bossam / Jokbal Restaurant,5
Food,,Asian Restaurant,5,Korean Restaurant,5,Bunsik Restaurant,5
Food,,Asian Restaurant,5,Korean Restaurant,5,Gukbap Restaurant,169
Food,,Asian Restaurant,5,Korean Restaurant,5,Janguh Restaurant,5
Food,,Asian Restaurant,5,Korean Restaurant,5,Samgyetang Restaurant,169
Food,,Asian Restaurant,5,Malay Restaurant,5,,
Food,,Asian Restaurant,5,Mongolian Restaurant,5,,
Food,,Asian Restaurant,5,Noodle House,45,,
Food,,Asian Restaurant,5,Satay Restaurant,160,,
Food,,Asian Restaurant,5,Thai Restaurant,5,Som Tum Restaurant,74
Food,,Asian Restaurant,5,Tibetan Restaurant,5,,
Food,,Asian Restaurant,5,Vietnamese Restaurant,5,,
Food,,Australian Restaurant,5,,,,
Food,,Austrian Restaurant,5,,,,
Food,,BBQ Joint,64,,,,
Food,,Bagel Shop,162,,,,
Food,,Bakery,13,,,,
Food,,Belgian Restaurant,5,,,,
Food,,Breakfast Spot,51,,,,
Food,,Buffet,5,,,,
Food,,Burger Joint,40,,,,
Food,,Cafeteria,5,,,,
Food,,Café,19,,,,
Food,,Cajun / Creole Restaurant,5,,,,
Food,,Caribbean Restaurant,5,Cuban Restaurant,5,,
Food,,Caucasian Restaurant,5,,,,
Food,,Comfort Food Restaurant,5,,,,
Food,,Creperie,163,,,,
Food,,Czech Restaurant,5,,,,
Food,,Deli / Bodega,55,,,,
Food,,Dessert Shop,161,Cupcake Shop,53,,
Food,,Dessert Shop,161,Frozen Yogurt Shop,43,,
Food,,Dessert Shop,161,Ice Cream Shop,16,,
Food,,Dessert Shop,161,Pastry Shop,172,,
Food,,Dessert Shop,161,Pie Shop,164,,
Food,,Diner,5,,,,
Food,,Donut Shop,12,,,,
Food,,Dumpling Restaurant,176,,,,
Food,,Dutch Restaurant,5,,,,
Food,,Eastern European Restaurant,5,Belarusian Restaurant,5,,
Food,,Eastern European Restaurant,5,Bosnian Restaurant,5,,
Food,,Eastern European Restaurant,5,Bulgarian Restaurant,5,,
Food,,Eastern European Restaurant,5,Romanian Restaurant,5,,
Food,,Eastern European Restaurant,5,Tatar Restaurant,5,,
Food,,English Restaurant,5,,,,
Food,,Falafel Restaurant,175,,,,
Food,,Fast Food Restaurant,69,,,,
Food,,Fish & Chips Shop,165,,,,
Food,,Fondue Restaurant,334,,,,
Food,,Food Court,5,,,,
Food,,Food Stand,288,,,,
Food,,Food Truck,39,,,,
Food,,French Restaurant,5,Alsatian Restaurant,5,,
Food,,French Restaurant,5,Auvergne Restaurant,5,,
Food,,French Restaurant,5,Basque Restaurant,5,,
Food,,French Restaurant,5,Brasserie,5,,
Food,,French Restaurant,5,Breton Restaurant,5,,
Food,,French Restaurant,5,Burgundian Restaurant,5,,
Food,,French Restaurant,5,Catalan Restaurant,5,,
Food,,French Restaurant,5,Ch'ti Restaurant,5,,
Food,,French Restaurant,5,Corsican Restaurant,5,,
Food,,French Restaurant,5,Estaminet,82,,
Food,,French Restaurant,5,Labour Canteen,5,,
Food,,French Restaurant,5,Lyonese Bouchon,5,,
Food,,French Restaurant,5,Norman Restaurant,5,,
Food,,French Restaurant,5,Provençal Restaurant,5,,
Food,,French Restaurant,5,Savoyard Restaurant,5,,
Food,,French Restaurant,5,Southwestern French Restaurant,5,,
